"411",3.00,3.00,3.00,3.00,84.99,52.78,64.92,86.26,34.26,46.52,71.14,55.85
"697",3.00,3.00,3.00,3.00,81.81,56.24,63.10,88.31,42.39,44.29,71.84,51.56
"927",1.00,3.00,0.00,0.00,72.05,53.98,60.65,81.99,31.31,36.05,59.33,41.74
"I76",3.00,3.00,3.00,3.00,94.12,59.80,64.61,98.77,47.64,55.89,79.28,61.15
"457",3.00,3.00,3.00,3.00,98.51,60.29,66.78,94.69,41.26,56.65,86.25,65.19
"847",2.00,3.00,3.00,3.00,83.60,56.96,64.13,91.21,43.49,42.24,72.30,51.54
"602",3.00,3.00,0.00,0.00,96.75,58.79,67.60,93.37,38.31,50.55,87.37,68.92
"462",3.00,3.00,3.00,3.00,98.28,57.43,66.63,84.92,41.36,52.75,82.68,60.58
"500",3.00,3.00,3.00,3.00,91.16,54.95,66.61,90.23,48.93,49.46,75.60,56.18
"NU",3.00,3.00,3.00,3.00,89.25,57.56,63.73,91.73,44.34,46.44,76.06,59.17
"724",3.00,3.00,3.00,3.00,82.64,54.49,62.56,88.61,33.25,48.20,67.51,46.48
"980",1.00,3.00,3.00,2.00,73.28,51.52,58.66,82.94,32.35,40.80,59.70,
"F06 & Fetus",1.00,3.00,3.00,3.00,76.41,55.39,61.29,85.06,41.50,48.49,63.72,41.72
"568",3.00,3.00,3.00,3.00,98.23,55.13,66.95,89.89,46.60,57.08,84.94,62.58
"JV",3.00,3.00,3.00,3.00,101.76,,67.14,91.05,47.09,58.31,86.62,64.77
"703",3.00,3.00,3.00,3.00,95.91,51.16,66.98,88.60,38.29,52.09,87.30,63.34
