AnimalID, Sex, Matril, BGroup, DateOfB, Pedigree
"K82","m","Q1083","S",4/7/1987 0:00:00,5
"L17","f","Q1083","Q",4/10/1987 0:00:00,5
"N38","m","Q1083","R",11/28/1987 0:00:00,5
"N16","f","Q1083","S",12/7/1987 0:00:00,5
"N24","m","Q1083","R",12/13/1987 0:00:00,5
"N60","m","Q1083","S",12/15/1987 0:00:00,4
"O84","f","Q1083","Q",12/26/1987 0:00:00,6
"O30","f","Q1083","S",12/29/1987 0:00:00,6
"N73","f","Q1083","Q",12/29/1987 0:00:00,6
"O35","f","Q1083","S",12/30/1987 0:00:00,5
"N20","f","Q1083","R",1/1/1988 0:00:00,6
"N64","m","Q1083","Q",1/1/1988 0:00:00,5
"O66","m","Q1083","S",1/2/1988 0:00:00,5
"O91","f","Q1083","Q",1/2/1988 0:00:00,4
"O38","f","Q1083","S",1/3/1988 0:00:00,6
"O28","m","Q1083","R",1/8/1988 0:00:00,5
"N41","f","Q1083","R",1/10/1988 0:00:00,5
"i88G02","f","Q1083","T",1/15/1988 0:00:00,5
"O93","f","Q1083","Q",1/15/1988 0:00:00,5
"N59","m","Q1083","Q",1/21/1988 0:00:00,6
"O88","f","Q1083","Q",1/24/1988 0:00:00,5
"O90","f","Q1083","Q",2/2/1988 0:00:00,5
"O65","m","Q1083","S",2/6/1988 0:00:00,6
"N15","m","Q1083","S",2/7/1988 0:00:00,5
"O27","f","Q1083","R",2/8/1988 0:00:00,5
"N46","m","Q1083","R",2/9/1988 0:00:00,4
"O92","f","Q1083","Q",2/10/1988 0:00:00,5
"N14","m","Q1083","R",3/10/1988 0:00:00,6
"N75","f","Q1083","Q",3/11/1988 0:00:00,5
"O77","m","Q1083","S",3/12/1988 0:00:00,6
"O36","f","Q1083","S",3/17/1988 0:00:00,6
"i88446","f","Q1083","Q",5/11/1988 0:00:00,4
"S18","m","Q1083","R",12/7/1988 0:00:00,5
"R51","f","Q1083","S",12/20/1988 0:00:00,5
"S07","m","Q1083","S",1/2/1989 0:00:00,5
"R90","m","Q1083","Q",1/2/1989 0:00:00,5
"R92","f","Q1083","Q",1/8/1989 0:00:00,5
"R84","m","Q1083","Q",1/8/1989 0:00:00,6
"S51","m","Q1083","R",1/8/1989 0:00:00,5
"S37","f","Q1083","S",1/9/1989 0:00:00,5
"S19","m","Q1083","Q",1/9/1989 0:00:00,5
"S72","f","Q1083","R",1/10/1989 0:00:00,6
"S52","f","Q1083","Q",1/11/1989 0:00:00,6
"R81","f","Q1083","Q",1/14/1989 0:00:00,4
"S08","m","Q1083","S",1/14/1989 0:00:00,4
"R53","f","Q1083","S",1/15/1989 0:00:00,5
"S13","m","Q1083","S",1/15/1989 0:00:00,6
"S12","m","Q1083","S",1/15/1989 0:00:00,5
"S50","m","Q1083","Q",1/15/1989 0:00:00,6
"T14","m","Q1083","Q",1/15/1989 0:00:00,6
"S20","m","Q1083","R",1/16/1989 0:00:00,5
"T11","m","Q1083","Q",1/16/1989 0:00:00,5
"S55","f","Q1083","R",1/18/1989 0:00:00,6
"R52","m","Q1083","S",1/19/1989 0:00:00,6
"S97","f","Q1083","R",1/23/1989 0:00:00,5
"i89B11","f","Q1083","Q",1/23/1989 0:00:00,5
"S11","f","Q1083","S",1/24/1989 0:00:00,5
"S94","m","Q1083","Q",1/31/1989 0:00:00,5
"S56","m","Q1083","R",2/8/1989 0:00:00,5
"S10","m","Q1083","S",2/21/1989 0:00:00,5
"R27","f","Q1083","S",2/21/1989 0:00:00,6
"S68","f","Q1083","S",2/24/1989 0:00:00,5
"S95","f","Q1083","R",2/26/1989 0:00:00,6
"R87","f","Q1083","Q",2/26/1989 0:00:00,5
"S21","f","Q1083","Q",2/27/1989 0:00:00,6
"S93","m","Q1083","Q",2/27/1989 0:00:00,4
"S77","m","Q1083","R",3/2/1989 0:00:00,4
"S80","f","Q1083","R",3/2/1989 0:00:00,5
"S89","m","Q1083","S",3/7/1989 0:00:00,6
"T10","m","Q1083","Q",3/13/1989 0:00:00,5
"S38","m","Q1083","S",3/19/1989 0:00:00,6
"S09","m","Q1083","S",3/27/1989 0:00:00,4
"i90J66","m","Q1083","R",12/18/1989 0:00:00,7
"V08","f","Q1083","Q",12/18/1989 0:00:00,6
"i90I34","m","Q1083","Q",12/26/1989 0:00:00,6
"i90J12","f","Q1083","R",12/31/1989 0:00:00,6
"T57","m","Q1083","R",1/6/1990 0:00:00,5
"V55","f","Q1083","Q",1/7/1990 0:00:00,6
"V06","m","Q1083","Q",1/10/1990 0:00:00,5
"i90E55","f","Q1083","R",1/13/1990 0:00:00,5
"V42","m","Q1083","R",1/21/1990 0:00:00,6
"T51","f","Q1083","S",1/22/1990 0:00:00,5
"i90H38","m","Q1083","S",1/23/1990 0:00:00,6
"T79","m","Q1083","Q",1/24/1990 0:00:00,6
"T54","m","Q1083","S",1/27/1990 0:00:00,6
"T55","m","Q1083","R",1/29/1990 0:00:00,6
"i90G17","m","Q1083","R",1/29/1990 0:00:00,5
"i90B13","m","Q1083","Q",1/30/1990 0:00:00,5
"V52","m","Q1083","Q",1/30/1990 0:00:00,6
"T53","m","Q1083","S",2/2/1990 0:00:00,5
"i90G19","f","Q1083","Q",2/3/1990 0:00:00,5
"V03","f","Q1083","Q",2/8/1990 0:00:00,6
"T83","f","Q1083","S",2/16/1990 0:00:00,6
"T86","f","Q1083","S",2/17/1990 0:00:00,5
"T84","f","Q1083","S",2/20/1990 0:00:00,5
"V40","m","Q1083","Q",2/24/1990 0:00:00,5
"T82","m","Q1083","S",3/5/1990 0:00:00,5
"i90869","f","Q1083","S",3/12/1990 0:00:00,5
"T87","m","Q1083","S",3/14/1990 0:00:00,5
"V38","f","Q1083","Q",3/14/1990 0:00:00,4
"T81","m","Q1083","Q",3/14/1990 0:00:00,5
"V68","f","Q1083","Q",3/22/1990 0:00:00,5
"T85","f","Q1083","S",3/26/1990 0:00:00,7
"T52","m","Q1083","S",4/14/1990 0:00:00,6
"i91G17","f","Q1083","R",11/22/1990 0:00:00,5
"X54","m","Q1083","S",12/6/1990 0:00:00,5
"X40","f","Q1083","Q",12/7/1990 0:00:00,6
"X38","m","Q1083","R",12/11/1990 0:00:00,5
"i91J12","m","Q1083","R",12/17/1990 0:00:00,6
"X14","m","Q1083","Q",12/18/1990 0:00:00,5
"X81","m","Q1083","R",12/19/1990 0:00:00,6
"X32","f","Q1083","R",12/19/1990 0:00:00,5
"X30","f","Q1083","R",12/20/1990 0:00:00,7
"X76","m","Q1083","S",12/23/1990 0:00:00,4
"V98","m","Q1083","R",12/25/1990 0:00:00,6
"X77","m","Q1083","S",12/29/1990 0:00:00,6
"X04","f","Q1083","Q",12/31/1990 0:00:00,6
"X62","f","Q1083","Q",1/4/1991 0:00:00,6
"X59","m","Q1083","S",1/5/1991 0:00:00,5
